IdCarrera,CARRERA,AREA
11,MEDICINA HUMANA,A
12,OBSTETRICIA,A
13,ENFERMERÍA,A
141,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,A
142,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,A
143,TEC. MED. RADIOLOGÍA,A
144,TEC. MED. TERAPIA OCUPACIONAL,A
15,NUTRICION,A
22,DERECHO,E
23,CIENCIA POLÍTICA,E
31,LITERATURA,E
33,FILOSOFÍA,E
34,LINGUÍSTICA,E
35,COMUNICACIÓN SOCIAL,E
36,ARTE,E
37,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,E
38,DANZA,E
39,CONSERVACIÓN Y RESTAURACIÓN,E
41,FARMACIA Y BIOQUÍMICA,A
42,CIENCIAS DE LOS ALIMENTOS,A
43,TOXICOLOGÍA,A
51,ODONTOLOGÍA,A
611,EDUCACIÓN INICIAL,E
612,EDUCACIÓN PRIMARIA,E
613,EDUCACIÓN SECUNDARIA,E
62,EDUCACIÓN FÍSICA,E
71,QUÍMICA,B
72,INGENIERÍA QUÍMICA,C
73,INGENIERÍA AGROINDUSTRIAL,C
81,MEDICINA VETERINARIA,A
91,ADMINISTRACIÓN,D
92,ADMINISTRACIÓN DE TURISMO,D
93,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,D
101,CIENCIAS BIOLÓGICAS,B
102,GENÉTICA Y BIOTECNOLOGÍA,B
103,MICROBIOLOGÍA Y PARASITOLOGÍA,B
111,CONTABILIDAD,D
112,GESTIÓN TRIBUTARIA,D
113,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO,D
114,PRESUPUESTO Y FINANZAS PÚBLICAS,D
121,ECONOMÍA,D
122,ECONOMÍA PÚBLICA,D
123,ECONOMÍA INTERNACIONAL,D
131,FÍSICA,B
132,INGENIERÍA MECÁNICA DE FLUIDOS,C
141,MATEMÁTICA,B
142,ESTADÍSTICA,B
144,INVESTIGACIÓN OPERATIVA,B
145,COMPUTACIÓN CIENTÍFICA,B
151,HISTORIA,E
152,SOCIOLOGÍA,E
153,ANTROPOLOGÍA,E
154,ARQUEOLOGÍA,E
155,TRABAJO SOCIAL,E
157,GEOGRAFÍA,E
162,INGENIERÍA GEOLÓGICA,C
163,INGENIERÍA GEOGRÁFICA,C
165,INGENIERÍA DE MINAS,C
166,INGENIERÍA METALÚRGICA,C
167,INGENIERÍA CIVIL,C
168,INGENIERÍA AMBIENTAL,C
171,INGENIERÍA INDUSTRIAL,C
172,,
173,INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO,C
181,PSICOLOGÍA,A
182,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,A
191,INGENIERÍA ELECTRÓNICA,C
192,INGENIERÍA ELÉCTRICA,C
193,INGENIERÍA DE TELECOMUNICACIONES,C
194,INGENIERÍA BIOMÉDICA,C
201,INGENIERÍA DE SISTEMAS,C
202,INGENIERÍA DE SOFTWARE,C
