ESCUELA PROFESIONAL,max,min,count
COMPUTACIÓN CIENTÍFICA,1704.25,918.375,7
QUÍMICA,1643.125,946.25,5
COMUNICACIÓN SOCIAL,1586.5,1218.375,22
MEDICINA HUMANA,1557.5,1224.0,55
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,1556.375,901.5,57
CONTABILIDAD - LIMA,1556.375,973.875,101
DERECHO,1538.625,1164.0,134
INGENIERÍA AMBIENTAL,1517.5,989.375,15
INGENIERÍA BIOMÉDICA,1514.125,1073.875,18
ECONOMÍA,1498.625,1175.25,66
INGENIERÍA CIVIL,1476.375,1115.0,25
INGENIERÍA DE SISTEMAS,1475.25,1100.625,43
INGENIERÍA INDUSTRIAL,1463.125,986.0,77
FÍSICA,1430.75,902.625,7
CIENCIA POLÍTICA,1430.75,1008.25,51
LITERATURA,1429.625,1068.5,17
INGENIERÍA ELECTRÓNICA,1408.5,901.5,38
ADMINISTRACIÓN,1408.5,1008.25,89
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,1408.5,901.5,28
MATEMÁTICA,1387.375,922.625,7
INGENIERÍA DE MINAS,1387.375,963.125,18
MEDICINA VETERINARIA,1371.875,1015.0,20
ESTADÍSTICA,1366.25,964.875,7
CIENCIAS BIOLÓGICAS,1363.125,901.5,19
ENFERMERÍA,1347.375,901.5,46
INGENIERÍA DE SOFTWARE,1347.375,1091.625,25
FILOSOFÍA,1330.75,902.625,12
ADMINISTRACIÓN DE TURISMO,1326.25,901.5,36
INGENIERÍA GEOLÓGICA,1322.0,904.0,20
PSICOLOGÍA,1314.125,1049.375,48
LINGUÍSTICA,1313.0,987.375,16
ECONOMÍA PÚBLICA,1306.25,901.5,39
INGENIERÍA QUÍMICA,1304.0,901.5,21
NUTRICION,1302.875,903.75,24
ECONOMÍA INTERNACIONAL,1302.875,929.375,64
EDUCACIÓN SECUNDARIA,1296.375,943.75,61
INGENIERÍA DE TELECOMUNICACIONES,1285.125,902.625,24
FARMACIA Y BIOQUÍMICA,1284.25,986.25,25
TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA,1284.0,972.75,17
CIENCIAS DE LA COMPUTACIÓN,1281.75,901.5,8
EDUCACIÓN PRIMARIA,1281.75,937.25,13
HISTORIA,1261.75,943.75,18
GENÉTICA Y BIOTECNOLOGÍA,1261.75,950.5,21
INGENIERÍA ELÉCTRICA,1260.625,902.625,19
GEOGRAFÍA,1260.625,923.75,10
ODONTOLOGÍA,1248.5,977.25,25
SOCIOLOGÍA,1239.5,902.0,22
MICROBIOLOGÍA Y PARASITOLOGÍA,1239.5,908.5,6
CONSERVACIÓN Y RESTAURACIÓN,1219.5,901.5,8
PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,1219.5,901.5,24
EDUCACIÓN FÍSICA,1218.258,901.533,34
GESTIÓN TRIBUTARIA - LIMA,1200.625,905.125,13
TEC. MED. RADIOLOGÍA,1199.5,922.625,10
ARQUEOLOGÍA,1189.625,905.125,11
TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN,1185.375,901.5,9
TRABAJO SOCIAL,1179.5,943.75,37
PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA,1162.875,903.75,21
EDUCACIÓN INICIAL,1155.0,901.5,8
ANTROPOLOGÍA,1142.875,902.625,15
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO,1102.0,901.5,3
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,1096.375,902.625,5
PRESUPUESTO Y FINANZAS PÚBLICAS - S.J.L,1092.75,922.625,2
OBSTETRICIA,1091.625,901.5,29
INGENIERÍA GEOGRÁFICA,1051.625,902.625,6
DANZA,1045.125,974.0,2
INVESTIGACIÓN OPERATIVA,1031.625,1031.625,1
TOXICOLOGÍA,1028.5,916.125,5
INGENIERÍA MECÁNICA DE FLUIDOS,1028.25,922.625,12
TEC. MED. TERAPIA OCUPACIONAL,1010.75,933.875,6
INGENIERÍA AGROINDUSTRIAL,986.0,986.0,2
CIENCIAS DE LOS ALIMENTOS,969.375,906.25,3
ARTE,960.625,908.25,5
INGENIERÍA METALÚRGICA,929.375,913.875,2
